Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-1122O-1826-SM-5EGIP	GTEX-1122O-1826-SM-5EGIP		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1826-SM-5EGIP		biosample
GTEX-1122O-1926-SM-5EGIQ	GTEX-1122O-1926-SM-5EGIQ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1926-SM-5EGIQ		biosample
GTEX-1122O-2026-SM-5NQ91	GTEX-1122O-2026-SM-5NQ91		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-2026-SM-5NQ91		biosample
GTEX-1122O-2126-SM-5EGIR	GTEX-1122O-2126-SM-5EGIR		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-2126-SM-5EGIR		biosample
GTEX-1122O-2426-SM-5GIDN	GTEX-1122O-2426-SM-5GIDN		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-2426-SM-5GIDN		biosample
GTEX-1128S-0005-SM-5P9HI	GTEX-1128S-0005-SM-5P9HI		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0005-SM-5P9HI		biosample
GTEX-1128S-0008-SM-5Q5DP	GTEX-1128S-0008-SM-5Q5DP		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0008-SM-5Q5DP		biosample
GTEX-1128S-0126-SM-5H12S	GTEX-1128S-0126-SM-5H12S		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0126-SM-5H12S		biosample
GTEX-1128S-0326-SM-5GZZF	GTEX-1128S-0326-SM-5GZZF		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0326-SM-5GZZF		biosample
GTEX-1128S-0726-SM-5N9D6	GTEX-1128S-0726-SM-5N9D6		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0726-SM-5N9D6		biosample
GTEX-1128S-0826-SM-5GZZI	GTEX-1128S-0826-SM-5GZZI		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0826-SM-5GZZI		biosample
GTEX-1128S-0926-SM-5GZZU	GTEX-1128S-0926-SM-5GZZU		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-0926-SM-5GZZU		biosample
GTEX-1128S-1626-SM-5H12O	GTEX-1128S-1626-SM-5H12O		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-1626-SM-5H12O		biosample
GTEX-1128S-2126-SM-5H12U	GTEX-1128S-2126-SM-5H12U		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2126-SM-5H12U		biosample
GTEX-1128S-2326-SM-5GZZY	GTEX-1128S-2326-SM-5GZZY		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2326-SM-5GZZY		biosample
GTEX-1128S-2426-SM-5H11B	GTEX-1128S-2426-SM-5H11B		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2426-SM-5H11B		biosample
GTEX-1128S-2526-SM-5H11N	GTEX-1128S-2526-SM-5H11N		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2526-SM-5H11N		biosample
GTEX-1128S-2626-SM-5H11Z	GTEX-1128S-2626-SM-5H11Z		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2626-SM-5H11Z		biosample
GTEX-1128S-2726-SM-5H12C	GTEX-1128S-2726-SM-5H12C		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1128S-2726-SM-5H12C		biosample
